0,1,2,0,1,2,3,7,8,0,1,0,1,2,3,6,7,8,0,1,0,1,2,3,6,7,8,0,1,2,3,4,5,6,7,8,0,1,2,3,4,5,6,7,8,0,1,2,3,0,1,2,3,8,0,1,2,0,1,2,3,1,2,3,0,1,0,1,2,3
9,10,11,9,10,11,12,16,17,9,10,9,10,11,12,15,16,17,9,10,9,10,11,12,15,16,17,9,10,11,12,13,14,15,16,17,9,10,11,12,13,14,15,16,17,9,10,11,12,9,10,11,12,17,9,10,11,9,10,11,12,10,11,12,9,10,9,10,11,12
18,19,20,18,19,20,21,25,26,18,19,18,19,20,21,24,25,26,18,19,18,19,20,21,24,25,26,18,19,20,21,22,23,24,25,26,18,19,20,21,22,23,24,25,26,18,19,20,21,18,19,20,21,26,18,19,20,18,19,20,21,19,20,21,18,19,18,19,20,21
27,28,29,27,28,29,30,34,35,27,28,27,28,29,30,33,34,35,27,28,27,28,29,30,33,34,35,27,28,29,30,31,32,33,34,35,27,28,29,30,31,32,33,34,35,27,28,29,30,27,28,29,30,35,27,28,29,27,28,29,30,28,29,30,27,28,27,28,29,30
36,37,38,36,37,38,39,43,44,36,37,36,37,38,39,42,43,44,36,37,36,37,38,39,42,43,44,36,37,38,39,40,41,42,43,44,36,37,38,39,40,41,42,43,44,36,37,38,39,36,37,38,39,44,36,37,38,36,37,38,39,37,38,39,36,37,36,37,38,39
45,46,47,45,46,47,48,52,53,45,46,45,46,47,48,51,52,53,45,46,45,46,47,48,51,52,53,45,46,47,48,49,50,51,52,53,45,46,47,48,49,50,51,52,53,45,46,47,48,45,46,47,48,53,45,46,47,45,46,47,48,46,47,48,45,46,45,46,47,48
54,55,56,54,55,56,57,61,62,54,55,54,55,56,57,60,61,62,54,55,54,55,56,57,60,61,62,54,55,56,57,58,59,60,61,62,54,55,56,57,58,59,60,61,62,54,55,56,57,54,55,56,57,62,54,55,56,54,55,56,57,55,56,57,54,55,54,55,56,57
63,64,65,63,64,65,66,70,71,63,64,63,64,65,66,69,70,71,63,64,63,64,65,66,69,70,71,63,64,65,66,67,68,69,70,71,63,64,65,66,67,68,69,70,71,63,64,65,66,63,64,65,66,71,63,64,65,63,64,65,66,64,65,66,63,64,63,64,65,66
72,73,74,72,73,74,75,79,80,72,73,72,73,74,75,78,79,80,72,73,72,73,74,75,78,79,80,72,73,74,75,76,77,78,79,80,72,73,74,75,76,77,78,79,80,72,73,74,75,72,73,74,75,80,72,73,74,72,73,74,75,73,74,75,72,73,72,73,74,75
81,82,83,81,82,83,84,88,89,81,82,81,82,83,84,87,88,89,81,82,81,82,83,84,87,88,89,81,82,83,84,85,86,87,88,89,81,82,83,84,85,86,87,88,89,81,82,83,84,81,82,83,84,89,81,82,83,81,82,83,84,82,83,84,81,82,81,82,83,84
90,91,92,90,91,92,93,97,98,90,91,90,91,92,93,96,97,98,90,91,90,91,92,93,96,97,98,90,91,92,93,94,95,96,97,98,90,91,92,93,94,95,96,97,98,90,91,92,93,90,91,92,93,98,90,91,92,90,91,92,93,91,92,93,90,91,90,91,92,93
99,100,101,99,100,101,102,106,107,99,100,99,100,101,102,105,106,107,99,100,99,100,101,102,105,106,107,99,100,101,102,103,104,105,106,107,99,100,101,102,103,104,105,106,107,99,100,101,102,99,100,101,102,107,99,100,101,99,100,101,102,100,101,102,99,100,99,100,101,102
108,109,110,108,109,110,111,115,116,108,109,108,109,110,111,114,115,116,108,109,108,109,110,111,114,115,116,108,109,110,111,112,113,114,115,116,108,109,110,111,112,113,114,115,116,108,109,110,111,108,109,110,111,116,108,109,110,108,109,110,111,109,110,111,108,109,108,109,110,111
